folder,image_name,ground_truth,baseline_prediction,baseline_cer,finetuned_prediction,finetuned_cer,improvement,improvement_pct
250,1.jpg,Thứ trưởng Bộ Tài nguyên & môi trường Đặng Hùng Võ tâm đắc với,Thứ tháng Bảy năm ngày và mới tháng Đáng Hùng vào năm 1942 với:,0.4354838709677419,Thứ trưởng Bộ Tài nguyên và môi trường Đặng Hùng Võ đã ra đã với,0.1451612903225806,0.29032258064516125,66.66666666666666
250,2.jpg,"cơ chế "" khuyến khích nhà đầu tư thỏa thuận với người sử dụng đất để nhận","có thể ""không khác, mà tôi thỏa thuận với người sửa đổi"" để nhấn",0.3698630136986301,"có thể "" khuyến khích nhà đầu tư thỏa thuận với người sử đất để nhận",0.1095890410958904,0.2602739726027397,70.37037037037037
250,3.jpg,"chuyển nhượng hoặc thuê quyền sử dụng đất, nhận góp vốn bằng quyền sử","chuyên nhúng hoặc thực quyển sử dụng đặt, nhân góp vốn bảng quyển sử",0.144927536231884,"chuyển những hoặc thực quyền sử dụng đất, nhận góp vốn bằng quyền sử",0.0579710144927536,0.0869565217391304,60.0
250,4.jpg,"dụng đất... "" Nhưng tại hội nghị hôm qua, tiếng nói từ các sở tài nguyên","dùng đặt ... "" Mừng tai hồi nghĩa hôm qua, tiếng nói: hãi cái gò tàn nguyện.",0.2777777777777778,"dung đất... "" Nhưng tại hội nghị hôm qua, tiếng nói hỏi các sở tài nguyên",0.0555555555555555,0.2222222222222223,80.00000000000003
250,5.jpg,"& môi trường lại đều đồng thanh "" loại bỏ "" điều khoản này ra khỏi dự thảo.","và mới thấy lời tiếc hãm ""you bo"" tiếc chưa nảy ra loại đã tháo.",0.5466666666666666,"và môi trường lên tiền hành "" toạ bố "" điều khoản này ra khỏi dự thảo.",0.2133333333333333,0.33333333333333337,60.97560975609757
250,6.jpg,Giám đốc Sở Tài nguyên & môi trường Hải Phòng Chu Minh Tuấn cho,gian đời Sở tài nguyên và môi trường Hải phòng chương Minh Trần che,0.2063492063492063,giám đốc Sở Tài nguyên và môi trường Hải Phòng Chương trình chưa,0.1904761904761904,0.0158730158730159,7.692307692307707
250,7.jpg,"biết thành phố cảng từng áp dụng cơ chế "" thỏa thuận "" trong một số","but think that can't bring up being a cheater. ""I don't think I'm a cheater.""",0.7164179104477612,"biết thành phố cảng đứng áp dụng các chế "" hoả "" thuận "" trong một số",0.1343283582089552,0.582089552238806,81.25000000000001
250,8.jpg,"rất ít trường hợp, vậy mà đã gây phản ứng theo kiểu dây chuyền khá","yet it might happen, and my main goal in my life is to stay young the whole day.",0.8787878787878788,"rất ít trường hợp, vậy mà đã gây phản ứng y theo kiểu đầy chuyện "" lạ """,0.1666666666666666,0.7121212121212122,81.0344827586207
250,9.jpg,"mạnh : anh này nhận tiền rồi quay lại đòi nữa, anh kia thỏa thuận","mamh: anh nay nhân triển rồi quay lại đời mùa, anh luôn thơ thưa.",0.2923076923076923,"mạnh : anh này nhận tiền rồi quay lại đòi nữa, anh lựa theo thuận",0.0615384615384615,0.23076923076923084,78.94736842105266
250,10.jpg,xong quay ra đòi thỏa thuận lại...,xong quay ra tôi thoa' thua lai...,0.2058823529411764,xông quay ra đôi thoại thưa là...,0.2941176470588235,-0.08823529411764708,-42.85714285714288
250,11.jpg,"Chưa kể để doanh nghiệp và người dân "" nói chuyện "" với nhau như","clima leită"" doamă înghețat va îngheța dacă ""nici clingeță"" voia înainte me",0.71875,"chưa kể để doanh nghiệp và người dân "" nói chuyện "" với nhau như",0.0,0.71875,100.0
250,12.jpg,"vậy, quyền của cơ quan quản lý nhà nước sẽ mất đi. "" Tôi cũng có suy","vâng, quyên của cô quan quan lý nhà nước sẽ mất đi. ""Tôi cũng có sự",0.1323529411764706,"vậy, quyền của cơ quan quản lý nhà nước sẽ mất đi "". Tôi cũng có suy",0.0294117647058823,0.10294117647058829,77.77777777777781
250,13.jpg,"nghĩ như đồng chí "" Bỏ được qui định này đi thì tốt. Cùng một lúc chúng","night-night chai"" Bo"" there, you drink may stir the hot. Can't make the thing",0.647887323943662,"nghỉ như đường chợ "" Bỏ được qui định này đi thì tốt. Cũng một lúc chúng",0.0704225352112676,0.5774647887323944,89.13043478260869
250,14.jpg,ta thực hiện hai cơ chế (vừa Nhà nước thực hiện thu hồi đất như cách,"на что ни к чему, если сонно, когда надо, то что ни в чем, так и тому, когда",0.9558823529411764,ra thuốc hiệu hai cơ chế (vừa nhà nước thuốc hiệu thu hồi đất như cách,0.1029411764705882,0.8529411764705882,89.23076923076924
250,15.jpg,"làm lâu nay, vừa khuyến khích nhà đầu tư thỏa thuận với người sử dụng","kim nay, suân lehgren’ khác là một đoạn từ thông thường với người sử dụng",0.4782608695652174,"làn nay, vừa khuyên khắc nhà đầu hộ thuê thanh vốn người sử dụng",0.2463768115942029,0.2318840579710145,48.484848484848484
250,16.jpg,"đất) thì phức tạp - ông Trịnh Kiên Đĩnh, phó giám đốc Sở Tài","тай (т) пил'кап - jəŋ Trinh ličen Əlin, p'ə'giən stə'cə sə'ta",0.6666666666666666,"đất) thì phải tạp - ông Trịnh Liên Định, phó giám đốc Sở Tài",0.0666666666666666,0.6000000000000001,90.00000000000001
250,17.jpg,"nguyên - môi trường và nhà đất Hà Nội, lên tiếng.",negligent - most dutifully was what death had no right to do.,0.8163265306122449,"nguyệt - mới được vụ nhà đất Hà Nội, liên tiệng.",0.2244897959183673,0.5918367346938777,72.50000000000001
250,18.jpg,"Bảo vệ lập trường của cơ quan soạn thảo, Thứ trưởng Đặng Hùng Võ khẳng định","Báo với, lớp thường cần quen sạch tháo, Thủ trưởng đứng vị trí thứ nhất.",0.4533333333333333,"Đào về lập thường của cơ quan soạn trưa, Thứ trưởng Đặng Hùng Võ khẳng định",0.0933333333333333,0.36,79.41176470588236
250,19.jpg,""" trường hợp nhà đầu tư có nhu cầu thỏa thuận với người đang sử dụng đất, chúng","nǐnǐng hǎo, mā mā shì ér sān nián chū rì, wǒ nǐ guò le dāng rén de, dìng",0.7341772151898734,""" thường hợp nhà đầu tư có nhu cầu thỏa thuận với người đang rời dựng đất, chúng",0.0632911392405063,0.6708860759493671,91.37931034482759
250,20.jpg,"ta cần khuyến khích vì Nhà nước chẳng mất cái gì cả "". Ông Võ "" kêu gọi "" :","ta cán huỳnh biết rõ Nhà nước chẳng mất cái gì cả "". ông vợ ""kiên gọi"":",0.24,"tả cấn khuyến khích từ Nhà nước chẳng suất cái gì cả "". Ông Võ "" kiêu gọi "" :",0.0933333333333333,0.1466666666666667,61.11111111111113
250,21.jpg,"chúng ta cần thay đổi trong quan điểm, không nên để hệ thống hành chính","ching fe cên thay đổi trong quan điểm, không nên đọc lên thông hành chính",0.1408450704225352,"chúng ta cần thay đổi trong quan điểm, không nên để hệ thống hành chính",0.0,0.1408450704225352,100.0
250,22.jpg,"ôm về mình nhiều quá, bởi ôm càng nhiều thì sai càng nhiều. Bộ trưởng Mai","ơn viêm nhìn qua, bởi ôm càng nhìn thì sao càng nhìn, Bí trưng Mai",0.2876712328767123,"Ôm về mình khiến quá, bởi ôm căng nhiều thì sai càng nhiều. Bộ trưởng Mai",0.0547945205479452,0.2328767123287671,80.95238095238095
250,23.jpg,Ái Trực tiếp lời : Các nước đều áp dụng cơ chế tự thỏa thuận khi thu hồi,Aí frute tróp léi: Che muió stáir do lengy ós ché tróth thóag lhú thúchó!,0.5833333333333334,Ái trực tiếp lại : Các nước đều ép dựng và chỉ trì thoát thông khi thu hồi,0.1944444444444444,0.38888888888888895,66.66666666666667
250,24.jpg,đất.,书法,1.0,đất.,0.0,1.0,100.0
