folder,image,ground_truth,prediction,cer
250,1.jpg,Thứ trưởng Bộ Tài nguyên & môi trường Đặng Hùng Võ tâm đắc với,Thứ trưởng Bộ Tài nguyên và môi trường Đặng Hùng Võ đã ra đã với,0.14516129032258066
250,2.jpg,"cơ chế "" khuyến khích nhà đầu tư thỏa thuận với người sử dụng đất để nhận","có thể "" khuyến khích nhà đầu tư thỏa thuận với người sử đất để nhận",0.1095890410958904
250,3.jpg,"chuyển nhượng hoặc thuê quyền sử dụng đất, nhận góp vốn bằng quyền sử","chuyển những hoặc thực quyền sử dụng đất, nhận góp vốn bằng quyền sử",0.057971014492753624
250,4.jpg,"dụng đất... "" Nhưng tại hội nghị hôm qua, tiếng nói từ các sở tài nguyên","dung đất... "" Nhưng tại hội nghị hôm qua, tiếng nói hỏi các sở tài nguyên",0.05555555555555555
250,5.jpg,"& môi trường lại đều đồng thanh "" loại bỏ "" điều khoản này ra khỏi dự thảo.","và môi trường lên tiền hành "" toạ bố "" điều khoản này ra khỏi dự thảo.",0.21333333333333335
250,6.jpg,Giám đốc Sở Tài nguyên & môi trường Hải Phòng Chu Minh Tuấn cho,giám đốc Sở Tài nguyên và môi trường Hải Phòng Chương trình chưa,0.19047619047619047
250,7.jpg,"biết thành phố cảng từng áp dụng cơ chế "" thỏa thuận "" trong một số","biết thành phố cảng đứng áp dụng các chế "" hoả "" thuận "" trong một số",0.13432835820895522
250,8.jpg,"rất ít trường hợp, vậy mà đã gây phản ứng theo kiểu dây chuyền khá","rất ít trường hợp, vậy mà đã gây phản ứng y theo kiểu đầy chuyện "" lạ """,0.16666666666666666
250,9.jpg,"mạnh : anh này nhận tiền rồi quay lại đòi nữa, anh kia thỏa thuận","mạnh : anh này nhận tiền rồi quay lại đòi nữa, anh lựa theo thuận",0.06153846153846154
250,10.jpg,xong quay ra đòi thỏa thuận lại...,xông quay ra đôi thoại thưa là...,0.29411764705882354
250,11.jpg,"Chưa kể để doanh nghiệp và người dân "" nói chuyện "" với nhau như","chưa kể để doanh nghiệp và người dân "" nói chuyện "" với nhau như",0.0
250,12.jpg,"vậy, quyền của cơ quan quản lý nhà nước sẽ mất đi. "" Tôi cũng có suy","vậy, quyền của cơ quan quản lý nhà nước sẽ mất đi "". Tôi cũng có suy",0.029411764705882353
250,13.jpg,"nghĩ như đồng chí "" Bỏ được qui định này đi thì tốt. Cùng một lúc chúng","nghỉ như đường chợ "" Bỏ được qui định này đi thì tốt. Cũng một lúc chúng",0.07042253521126761
250,14.jpg,ta thực hiện hai cơ chế (vừa Nhà nước thực hiện thu hồi đất như cách,ra thuốc hiệu hai cơ chế (vừa nhà nước thuốc hiệu thu hồi đất như cách,0.10294117647058823
250,15.jpg,"làm lâu nay, vừa khuyến khích nhà đầu tư thỏa thuận với người sử dụng","làn nay, vừa khuyên khắc nhà đầu hộ thuê thanh vốn người sử dụng",0.2463768115942029
250,16.jpg,"đất) thì phức tạp - ông Trịnh Kiên Đĩnh, phó giám đốc Sở Tài","đất) thì phải tạp - ông Trịnh Liên Định, phó giám đốc Sở Tài",0.06666666666666667
250,17.jpg,"nguyên - môi trường và nhà đất Hà Nội, lên tiếng.","nguyệt - mới được vụ nhà đất Hà Nội, liên tiệng.",0.22448979591836735
250,18.jpg,"Bảo vệ lập trường của cơ quan soạn thảo, Thứ trưởng Đặng Hùng Võ khẳng định","Đào về lập thường của cơ quan soạn trưa, Thứ trưởng Đặng Hùng Võ khẳng định",0.09333333333333334
250,19.jpg,""" trường hợp nhà đầu tư có nhu cầu thỏa thuận với người đang sử dụng đất, chúng",""" thường hợp nhà đầu tư có nhu cầu thỏa thuận với người đang rời dựng đất, chúng",0.06329113924050633
250,20.jpg,"ta cần khuyến khích vì Nhà nước chẳng mất cái gì cả "". Ông Võ "" kêu gọi "" :","tả cấn khuyến khích từ Nhà nước chẳng suất cái gì cả "". Ông Võ "" kiêu gọi "" :",0.09333333333333334
250,21.jpg,"chúng ta cần thay đổi trong quan điểm, không nên để hệ thống hành chính","chúng ta cần thay đổi trong quan điểm, không nên để hệ thống hành chính",0.0
250,22.jpg,"ôm về mình nhiều quá, bởi ôm càng nhiều thì sai càng nhiều. Bộ trưởng Mai","Ôm về mình khiến quá, bởi ôm căng nhiều thì sai càng nhiều. Bộ trưởng Mai",0.0547945205479452
250,23.jpg,Ái Trực tiếp lời : Các nước đều áp dụng cơ chế tự thỏa thuận khi thu hồi,Ái trực tiếp lại : Các nước đều ép dựng và chỉ trì thoát thông khi thu hồi,0.19444444444444445
250,24.jpg,đất.,đất.,0.0
250,25.jpg,"Ngay cả trường hợp ta không qui định, người dân và doanh nghiệp vẫn thực hiện","Ngay cả trường hợp ta không qui định, người dân và doanh nghiệp vẫn thực hiện",0.0
250,26.jpg,"cơ chế này. "" Nếu cứ dùng quyền lực hành chính nhà nước với mô hình khuôn","cơ chế này. "" Nếu cứ dùng quyền lực hành chính nhà nước với mô hình khoán",0.0273972602739726
250,27.jpg,"cứng, người dân sẽ kêu "" - ông Trực nói. Chuyện "" bố "" - "" con "". Phó giám đốc","cũng, người dân sẽ kêu "" - ông Trực nói. Chiếm "" bố "" - "" con "". Phó Giám đốc",0.0641025641025641
250,28.jpg,Sở Tài nguyên - môi trường & nhà đất Hà Nội Trịnh Kiên Đĩnh đề nghị : thẩm,Số Tây nguyên - mới trường đi nhờ đất Hà Nội Trinh Kiên Điều để ngày trời làm,0.28378378378378377
250,29.jpg,"quyền thu hồi đất, giao đất phải được thể hiện theo tinh thần "" ông bố bao trùm","quyền hạn lợi đất, giao đất phải được thực hiện theo tình hình "" song lối báo trầm",0.21518987341772153
250,30.jpg,"ông con "". Theo đó, UBND cấp tỉnh, thành phố được quyền thu hồi, giao đất","Động cơ "". Theo đó, UBND cấp tỉnh, thành phố được quyền thu hồi, giao đất",0.0547945205479452
250,31.jpg,"thuộc thẩm quyền của UBND cấp quận, huyện (thay vì qui định như hiện nay,","thực thẩm quyền của UBND cấp quận, huyện (thay vì tại địa phương,",0.2054794520547945
250,32.jpg,""" ông bố "" muốn làm điều này phải thông báo cho "" ông con "" thực hiện, vừa nhiêu",""" ông bố "" nước lâm đầu vàng phải không báo cho ông con "" thực hiện, vừa nhiêu",0.1625
250,33.jpg,khê vừa không thể hiện hướng đi cải cách thủ tục hành chính).,khó vừa không thể kiện hướng đi các cách thủ tục thành thủ thuộc).,0.19672131147540983
250,34.jpg,"Lập tức Thứ trưởng Đặng Hùng Võ phản ứng : "" ông bố "" có quyền của "" ông bố "",","Lập tức Thứ trưởng Đặng Hùng Võ phân công : "" Ông bố có quyền của "" ông bố "",",0.0641025641025641
250,35.jpg,""" ông con "" có quyền của "" ông con "". Luật không cho phép "" ông bố "" làm thay "" ông",""" Ông còn có quyền của "" ông con "". Lượt không cho phép "" ông bố "" làm thay "" ông",0.060240963855421686
250,36.jpg,"con "". Trường hợp nào làm thay là phạm luật, chỉ có điều hiện nay các "" ông","con "". Trường hợp nào làm thay là phạm luật, chỉ có điều kiện này sẽ công",0.09333333333333334
250,37.jpg,"con "" không dám kêu mà thôi!","còn "" không dám kiều mà thôi! "".",0.21428571428571427
251,1.jpg,Chương trình hành động thực hiện Nghị quyết trung ương 9 - khóa,Chương trình hành động thực hiện Nghị quyết trung ương 9 - khóa,0.0
251,2.jpg,IX của Đảng bộ TP.HCM Về xây dựng Đảng : tiếp tục chỉ đạo mạnh,"IX của Đảng bộ TP.HCM về xây dựng Đảng : tiếp tục chỉ đạo mạnh,",0.016129032258064516
251,3.jpg,"mẽ, có hiệu quả cuộc vận động xây dựng chỉnh đốn Đảng theo tinh","mê, có hiệu quả cuộc vận động xây dựng chính đối với Đảng theo tinh",0.1111111111111111
251,4.jpg,"thần nghị quyết trung ương 6 (lần 2). Theo đó, tiếp tục thực hiện việc","thẩm nghị quyết trung ương 6 (lần số). Theo đó, tiếp tục được hiện việc",0.1
251,5.jpg,kê khai nhà đất và cơ sở sản xuất kinh doanh của cán bộ - công chức;,lệ khai nhà đất và cơ sở xin vượt hinh doanh của cán bộ - công chức.,0.1323529411764706
251,6.jpg,"tăng cường thanh kiểm tra những nơi có dấu hiệu vi phạm, đặc biệt","tăng cường thành kiểm tra những nơi có dấu hiệu vi phạm, đặc biệt",0.015384615384615385
251,7.jpg,trong lĩnh vực đất đai và các công trình trọng điểm.,trong kinh việc đất đai và các công trình trọng điểm.,0.07692307692307693
251,8.jpg,Xử lý nghiêm minh theo pháp luật và kỷ luật của Đảng những người,Xứ lợi nghèm mình theo pháp luật và kỷ luật của Đảng những người,0.09375
251,9.jpg,có hành vi sai trái và những người bao che. Thực hiện tốt các quy định,"có hành vi sai trái và những người bao che. Thực hiện tốt các quy định,",0.014285714285714285
251,10.jpg,"đối với cán bộ lãnh đạo, quản lý để xảy ra tham nhũng, tiêu cực ở cơ","đối với văn bản bộ lãnh đạo, quản lý đã xảy ra tham nhũng, tiêu cực ở cả",0.11764705882352941
251,11.jpg,"quan, đơn vị. Kiện toàn và tăng cường sức chiến đấu của tổ chức","quan, đơn vị. Kiện toàn và tăng cường sức chiến đấu của tổ chức",0.0
251,12.jpg,cơ sở Đảng. Tiếp tục đổi mới và nâng cao công tác cán bộ. Tiếp tục,cơ sở Đảng. Tiếp tục đổi mới và nâng cao công tác cảnh báo. Tiếp tục,0.06060606060606061
251,13.jpg,đổi mới phương thức lãnh đạo của cấp ủy Đảng theo phương châm,tôi mới phương thức lãnh đạo của cấp ủy Đảng theo phương châm,0.03278688524590164
251,14.jpg,hướng mạnh về cơ sở.,hướng mạnh về cổ sở.,0.05
251,15.jpg,"Về cải cách hành chính : Tập trung chấn chỉnh mạnh hơn nữa kỷ cương,",Về cái cách hành chính : Tập trung chẩn chính mạnh hơn nữa từ cương,0.08823529411764706
251,16.jpg,"kỷ luật trong bộ máy hành chính, nâng cao tinh thần trách nhiệm và","kỷ luật trọng bộ máy hành chính, nâng cao trình thẩm thấu nhiệm và",0.13636363636363635
251,17.jpg,"ý thức kỷ luật của CB - CC, nhất là trên lĩnh vực nhà đất, đầu tư,","ý thức kỷ luật của CĐ - CC, nhất là trên lĩnh vực nhà đất, đầu tư,",0.015151515151515152
251,18.jpg,"kinh doanh, trật tự xây dựng và giải quyết khiếu nại, tố cáo.","tinh doanh, trật tự cây dừng và giải quyết khiếu nại, đó là cái",0.16393442622950818
251,19.jpg,Xây dựng hoàn thiện hệ thống các qui trình thủ tục hành chính.,Xây dựng hoàn thiện hệ thống các quy trình thủ tục hành chính.,0.016129032258064516
251,20.jpg,"Kiên quyết chấn chỉnh bộ máy hành chính các cấp, nhanh chóng","kiến quyết chẩn chính bộ máy hành chính của cấp, nhanh chóng",0.08333333333333333
251,21.jpg,"khắc phục tình trạng quan liêu, cửa quyền, hách dịch.","khác phục tinh tráng quan liêu, cửa quyền, khách tiếp thị.",0.20754716981132076
251,22.jpg,Xây dựng và phát triển đội ngũ CB - CC có chất lượng chuyên môn,Xây dựng và phát triển đền ngọt CB - CC có chất lượng chuyên môn,0.06349206349206349
251,23.jpg,"cao, có phẩm chất, đạo đức. Kiểm tra, xử lý kiên quyết các vụ","cao, có phần chặt, đào được. Kiểm tra, xử lý hiện quyết các vụ",0.13114754098360656
251,24.jpg,"tham nhũng, lãng phí, làm thất thoát tài sản nhà nước... Về kinh","tham nhũng, lặng phí, làm thất thoát tại sân nhà nước... Về kinh",0.046875
251,25.jpg,"tế : Tập trung mọi nỗ lực nhằm tháo gỡ sản xuất kinh doanh,","tế : Tập trung mọi nỗ lực nhằm tháo gỡ sản xuất kinh doanh,",0.0
251,26.jpg,đưa tốc độ tăng trưởng GDP trên địa bàn TP đạt 12% năm,dựa trên tài nguyên - vật liệu (TP) đạt 16% năm,0.5925925925925926
251,27.jpg,"2004 và trên 12% năm 2005. Phát triển nhanh các ngành dịch vụ,",2004 và trên 125 năm 2005. Thật trên nhanh các ngành dịch vụ,0.0967741935483871
251,28.jpg,tái cấu trúc các ngành công nghiệp.,tài cầu trực cải ngành công nghiệp.,0.14285714285714285
251,29.jpg,Tiếp tục nhân rộng các mô hình huy động vốn đầu tư. Tập trung khai,tiếp tục nhận rộng các mỏ hình huy động vốn đầu tư. Tập trung khai,0.030303030303030304
251,30.jpg,thác các nguồn vốn cho ngân sách. Tổng kết quá trình cổ phần hóa,thuê các nguồn vốn cho ngân sách. Tổng kết quả trình cổ phần hóa,0.046875
251,31.jpg,doanh nghiệp nhà nước và việc tổ chức sắp xếp lại doanh nghiệp nhà,doanh nghiệp nhà nước và việc tổ chức sắp xếp lại doanh nghiệp nhà,0.0
251,32.jpg,nước. Triển khai quyết định của TP về một số chính sách ưu đãi,nước. Triển khai quyết định của TP về một số chính sách ưu đãi,0.0
251,33.jpg,đối với các dự án có vốn đầu tư nước ngoài. Rà soát lại chương,đối với các dự án cơ sở đầu tư nước ngoài. Hai sách lãnh chương,0.20967741935483872
251,34.jpg,trình hội nhập kinh tế của TP. Về văn hóa - xã hội : đẩy mạnh,tành hội nhập chính tắc của TP. Về văn hoá - xã hội : đẩy mạnh,0.14754098360655737
251,35.jpg,"xã hội hóa, phát triển xã hội học tập, ưu tiên đầu tư ngân","cả hội hoặc, phát triển xã hội học tập, vui tiếng lầu từ ngàn",0.20689655172413793
251,36.jpg,sách cho giáo dục - đào tạo.,cách cho giáo dục - đào tạo.,0.03571428571428571
251,37.jpg,Nâng cao năng lực quản lý nhà nước trên các lĩnh vực kinh doanh,Nàng cao nặng lúc quân lý nhà nước trên các lĩnh vực kinh doanh,0.06349206349206349
251,38.jpg,"dịch vụ văn hóa; khắc phục những sơ hở, tiêu cực trong quản lý","dịch vụ văn hoá : khắc phục những sở hộ, tiêu cực trong quản lý,",0.11290322580645161
251,39.jpg,và hoạt động văn hóa. Tiếp tục tập trung nguồn lực cho chương,và hoạt động văn hoá. Tiếp tục tập trung nguồn lực cho chương,0.03278688524590164
251,40.jpg,trình 3 giảm...,tỉnh 3 giảm...,0.13333333333333333
